Ce,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Target
16.38,3.54,7.03,1.17,35.91,12.73,145.69,53.22,223.47,45.53,414.62,77.43,0
3.425013276,0.994818133,3.459188553,0.07321145,24.92137878,10.5111844,139.7606695,56.98328137,271.740955,59.21712105,538.0657584,112.1402671,0
0.71,0.78,4.07,0.08,29.1,12.6,165,66.7,308,67.5,622,109,0
15,7.23,10.15,0.87,42.1,14.52,153.4,53.7,228.6,46,408,70.1,1
31.26,1.56,4.19,1.32,23.08,7.92,108.8,42.67,217.2,52.14,517.9,100.38,1
1.38,1.57,4.84,0.231,33.82,14,192.1,78.4,391,88.5,832,172,0
0.45,0.57,2.35,0.05,23.85,10.96,160,63.08,311,69.26,634,130,1
42.2,1.3,3.8,0.8,27.2,11.4,155,62.3,295.3,62.7,664.6,115.7,0
7.82,0.868,1.72,0.53,8.08,3.11,40.68,16.67,79.8,20.77,242.02,58.52233333,1
4.41,7.22,14.7,0.45,58.2,18.6,206,65.8,260,55.1,531,72,0
25.2681593,0.590877015,2.653132132,0.531768261,21.82111325,10.57216202,158.3125923,64.90571847,348.8658699,79.11940133,806.3323607,147.0849093,1
11.78,0.27,1.09,0.06,5.57,2.6,33.15,14.05,69.07,15.55,162.46,28.68,0
21.7994108,0.963967932,2.228991322,0.469878987,10.39188452,3.672196822,44.14046289,17.10504874,83.02259038,18.74540768,183.6346123,39.87040643,1
4.53,9.79,15.6,0.74,57.1,17.3,179,54.6,229,45,413,58.3,0
3.33,6.01,14.86,3.75,59,10,67,13,42,8,76,11,0
16.13721344,1.236669544,2.746554405,0.641968735,13.69274269,4.393579939,50.24127022,18.63895776,85.19537256,18.7698658,180.9249829,39.2709234,1
19.24,0.49,2.63,1.96,21.65,8.85,120.02,52.98,278.17,68.81,735.32,169.35,1
16.99792877,0.834160833,1.907067839,0.260901472,12.14051237,4.639560074,56.71927817,24.62951462,106.0861964,25.21799215,233.9511861,47.70103822,0
11.33,0.69,3.07,0.18,23.57,11.86,172.64,71.47,351.24,84.78,942.94,169.84,1
15.8,2.34,5.7,0.54,46.3,18.9,264,110,545,120,1249,250,0
58.28,7.04,8.92,0.7,48.76,24.99,313.67,109.33,464.55,98.76,900.39,149.99,0
2.242,5.17,13.2,0.522,81.9,28.4,334,123.2,550,109.2,972,184.2,0
17.93229988,15.36167209,25.87029449,1.637204191,106.5792173,32.38145369,384.6225987,132.8960214,611.9962634,121.9700478,1256.2844,196.5750345,0
1.9,0.8,1.9,0.5,7.7,2.2,21.8,7.3,34.8,9,97.2,17.1,0
18.88,1.23,3.39,0.31,23.71,9.18,125.88,49.23,230.37,52.24,511.05,91.26,1
8.7,0.5,1.2,0.25,11.1,4.2,59,26,134,32,352,75,1
0.406,0.54,4.24,0.048,35.5,14.98,186.5,61.3,244,45.4,365,64.6,0
12.8,0.76,2,0.31,15.1,6.2,90,36,190,41,488,87,0
13.21,1.25,2.94,0.26,22.98,8.44,114.11,48.97,222.83,45.69,423.89,87.3,1
37.13030716,1.669622227,2.730874111,0.61287458,14.92315174,5.438373291,74.99086636,28.86662327,155.0039684,35.47020819,434.6821545,79.9422531,1
